date,block ,row ,col ,pop ,mf ,rep ,pheno ,diam_mm ,height_cm ,total_branch ,herb_dam ,wilt_status ,longest_leaf_cm ,flowers ,fruits ,longest_ fruit_cm ,repro_ branch ,notes ,,
5/22/23,D2 ,38,B ,WL1 ,4,1,X,,,,,,,,,,,,,
5/22/23,D2 ,39,A ,CC ,5,7,X,,,,,,,,,,,,,
5/22/23,D2 ,39,B ,CC ,4,5,X,,,,,,,,,,,,,
5/22/23,D2 ,40,A ,FR ,6,5,X,,,,,,,,,,,,,
5/22/23,D2 ,40,B ,WR ,3,7,X,,,,,,,,,,,,,
5/22/23,D2 ,41,A ,WL2 ,4,12,X,,,,,,,,,,,,,
5/22/23,D2 ,41,B ,IH ,7,13,X,,,,,,,,,,,,,
5/22/23,D2 ,42,A ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,42,B ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,43,A ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,43,B ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,1,C ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,1,D ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,2,C,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,2,D ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,3,C ,LV3 ,1,6,X,,,,,,,,,,,,,
5/22/23,D1 ,3,D ,IH ,2,13,X,,,,,,,,,,,,,
5/22/23,D1 ,4,C ,CC ,4,9,X,,,,,,,,,,,,,
5/22/23,D1 ,4,D ,YO7 ,8,1,V,3.3,5.9,9,N,N,3.8,0,0,0,0,measured biggest side branch ,,
5/22/23,D1 ,5,C ,WV ,4,10,X,,,,,,,,,,,,,
5/22/23,D1 ,5,D ,FR ,1,12,X,,,,,,,,,,,,,
5/22/23,D1 ,6,C ,BH ,4,12,X,,,,,,,,,,,,,
5/22/23,D1 ,6,D ,SQ1 ,5,9,X,,,,,,,,,,,,,
5/22/23,D1 ,7,C ,WL1 ,1,20,X,,,,,,,,,,,,,
5/22/23,D1 ,7,D ,CP2 ,2,11,X,,,,,,,,,,,,,
5/22/23,D1 ,8,C ,WL1 ,2,10,X,,,,,,,,,,,,,
5/22/23,D1 ,8,D ,BH ,7,17,X,,,,,,,,,,,,,
5/22/23,D1 ,9,C ,BH ,1,8,X,,,,,,,,,,,,,
5/22/23,D1 ,9,D ,SQ1 ,7,3,X,,,,,,,,,,,,,
5/22/23,D1 ,10,C ,FR ,6,6,X,,,,,,,,,,,,,
5/22/23,D1 ,10,D ,IH ,7,2,X,,,,,,,,,,,,,
5/22/23,D1 ,11,C ,LV3 ,5,10,X,,,,,,,,,,,,,
5/22/23,D1 ,11,D ,SQ1 ,1,9,X,,,,,,,,,,,,,
5/22/23,D1 ,12,C ,WL1 ,1,13,X,,,,,,,,,,,,,
5/22/23,D1 ,12,D ,DPR ,2,11,X,,,,,,,,,,,,,
5/22/23,D1 ,13,C ,SQ1 ,7,21,X,,,,,,,,,,,,,
5/22/23,D1 ,13,D ,SQ1 ,7,13,X,,,,,,,,,,,,,
5/22/23,D1 ,14,C ,TM2 ,1,13,X,,,,,,,,,,,,,
5/22/23,D1 ,14,D ,WL1 ,6,4,X,,,,,,,,,,,,,
5/22/23,D1 ,15,C ,LVTR1 ,6,13,X,,,,,,,,,,,,,
5/22/23,D1 ,15,D ,WL1 ,6,20,X,,,,,,,,,,,,,
5/22/23,D1 ,16,C ,CC ,2,5,X,,,,,,,,,,,,,
5/22/23,D1 ,16,D ,LV3 ,2,1,X,,,,,,,,,,,,,
5/22/23,D1 ,17,C ,BH ,5,14,X,,,,,,,,,,,,,
5/22/23,D1 ,17,D ,IH ,7,12,X,,,,,,,,,,,,,
5/22/23,D1 ,18,C ,WL1 ,7,25,X,,,,,,,,,,,,,
5/22/23,D1 ,18,D ,BH ,3,5,X,,,,,,,,,,,,,
5/22/23,D1 ,19,C ,SQ2 ,8,1,X,,,,,,,,,,,,,
5/22/23,D1 ,19,D ,BH ,5,9,X,,,,,,,,,,,,,
5/22/23,D1 ,20,C ,WL1 ,7,11,X,,,,,,,,,,,,,
5/22/23,D1 ,20,D ,YO8 ,3,12,X,,,,,,,,,,,,,
5/22/23,D1 ,21,C ,SC ,5,10,X,,,,,,,,,,,,,
5/22/23,D1 ,21,D ,FR ,8,2,X,,,,,,,,,,,,,
5/22/23,D2 ,22,C ,BH ,7,18,X,,,,,,,,,,,,,
5/22/23,D2 ,22,D ,LV3 ,7,13,X,,,,,,,,,,,,,
5/22/23,D2 ,23,C ,SQ3 ,4,11,X,,,,,,,,,,,,,
5/22/23,D2 ,23,D ,SQ2 ,6,3,X,,,,,,,,,,,,,
5/22/23,D2 ,24,C ,IH ,4,11,X,,,,,,,,,,,,,
5/22/23,D2 ,24,D ,LV3 ,4,12,X,,,,,,,,,,,,,
5/22/23,D2 ,25,C ,WL1 ,2,1,X,,,,,,,,,,,,,
5/22/23,D2 ,25,D ,FR ,6,10,X,,,,,,,,,,,,,
5/22/23,D2 ,26,C ,WL1 ,4,11,X,,,,,,,,,,,,,
5/22/23,D2 ,26,D ,SC ,5,11,X,,,,,,,,,,,,,
5/22/23,D2 ,27,C ,BH ,7,5,X,,,,,,,,,,,,,
5/22/23,D2 ,27,D ,SC ,4,10,X,,,,,,,,,,,,,
5/22/23,D2 ,28,C ,FR ,2,9,X,,,,,,,,,,,,,
5/22/23,D2 ,28,D ,FR ,1,6,X,,,,,,,,,,,,,
5/22/23,D2 ,29,C ,BH ,4,13,V ,12.03,16.7,1,Y ,N ,6,0,0,0,0,,,
5/22/23,D2 ,29,D ,BH ,2,9,V ,11.82,21,1,Y ,N ,5.9,0,0,0,0,,,
5/22/23,D2 ,30,C ,CP2 ,5,2,X ,,,,,,,,,,,,,
5/22/23,D2 ,30,D ,BH ,1,10,X,,,,,,,,,,,,,
5/22/23,D2 ,31,C ,SQ1 ,1,11,X,,,,,,,,,,,,,
5/22/23,D2 ,31,D ,LVTR1 ,6,5,X,,,,,,,,,,,,,
5/22/23,D2 ,32,C ,LV3 ,7,1,X,,,,,,,,,,,,,
5/22/23,D2 ,32,D ,WL1 ,3,9,X,,,,,,,,,,,,,
5/22/23,D2 ,33,C ,CP3 ,12,1,X,,,,,,,,,,,,,
5/22/23,D2 ,33,D ,BH ,5,10,X,,,,,,,,,,,,,
5/22/23,D2 ,34,C ,WL1 ,7,12,X,,,,,,,,,,,,,
5/22/23,D2 ,34,D ,SQ1 ,6,4,X,,,,,,,,,,,,,
5/22/23,D2 ,35,C ,SC ,6,11,X,,,,,,,,,,,,,
5/22/23,D2 ,35,D ,BH ,3,6,P ,10.48,65.8,2,Y,W,,10,3,1.5,2,,,
5/22/23,D2 ,36,C ,IH ,4,1,X,,,,,,,,,,,,,
5/22/23,D2 ,36,D ,WL1 ,6,5,X,,,,,,,,,,,,,
