order ,block,row,column,pop,mf,rep,death date,Notes,,
546,J1,19,A,WL2,1,13,,,,
547,J1,19,B,BH,3,11,,,,
548,J1,20,A,LV3,1,12,,1/6 two new germ,,
549,J1,20,B,BH,7,10,2/10/23,rot,,
550,J1,21,A,YO11,3,13,2/17/23,broken Stem,,
551,J1,21,B,WL1,6,16,,,,
552,J2,22,A,WL1,7,22,,,,
553,J2,22,B,buffer,,,,,,
554,J2,23,A,WL1,2,7,,,,
555,J2,23,B,WL1,1,27,,,,
556,J2,24,A,LVTR1,6,11,,,,
557,J2,24,B,IH,4,15,,,,
558,J2,25,A,SC,6,5,,,,
559,J2,25,B,WL1,6,27,,,,
560,J2,26,A,SQ2,8,2,1/27/23,,,
561,J2,26,B,FR,7,9,,,,
562,J2,27,A,LV3,1,13,,,,
563,J2,27,B,YO7,4,12,,1/12 new germ,,
564,J2,28,A,CC,5,6,,1/20 stem only,1/27 Stem only 2/3 new growth,
565,J2,28,B,WL2,3,4,,,,
566,J2,29,A,IH,4,7,,,,
567,J2,29,B,TM2,1,10,,,,
568,J2,30,A,CP2,7,7,,,,
569,J2,30,B,SQ1,4,13,2/17/23,gone,,
570,J2,31,A,TM2,4,12,,,,
571,J2,31,B,FR,4,2,,,,
572,J2,32,A,DPR,2,12,2/10/23,rot / stem was detached,,
573,J2,32,B,DPR,6,11,,,,
574,J2,33,A,BH,3,2,,,,
575,J2,33,B,TM2,2,6,,,,
576,J2,34,A,FR,2,2,,,,
577,J2,34,B,WL1,1,17,,,,
578,J2,35,A,LV3,7,9,,,,
579,J2,35,B,LV3,5,6,2/10/23,rot / stem detached,,
580,J2,36,A,TM2,6,1,1/6/23,gone,,
581,J2,36,B,BH,5,31,1/6/23,gone,,
582,J2,37,A,WL2,4,8,11/30/22,red pick,,
583,J2,37,B,BH,1,7,,,,
584,J2,38,A,SQ1,7,10,,,,
585,J2,38,B,CC,3,9,,,,
586,J2,39,A,WL1,1,10,,,,
587,J2,39,B,SQ1,1,5,,,,
588,J2,40,A,CP2,3,2,,,,
589,J2,40,B,CP3,6,13,2/3/23,Rain damage,,
590,J2,41,A,buffer,,,,,,
591,J2,41,B,BH,6,4,,,,
592,J2,42,A,buffer,,,,,,
593,J2,42,B,buffer,,,,ripped apart by crow,,
594,J2,43,A,buffer,,,,,,
595,J2,43,B,buffer,,,,,,
596,J1,0,C,buffer,,,,,,
597,J1,1,C,buffer,,,,,,
598,J1,1,D,buffer,,,,,,
599,J1,2,C,buffer,,,,,,
600,J1,2,D,buffer,,,,,,
601,J1,3,C,SQ3,6,12,,,,
602,J1,3,D,CP2,1,6,,,,
603,J1,4,C,IH,7,8,,,,
604,J1,4,D,BH,6,3,1/20/23,gone,,
605,J1,5,C,YO7,5,1,2/10/23,rot,,
606,J1,5,D,LV3,1,2,1/6/23,gone,,
607,J1,6,C,IH,5,10,2/17/23,1/6 stem stripped,plant alive,
608,J1,6,D,WL1,7,21,,,,
609,J1,7,C,LV3,5,5,,,,
610,J1,7,D,FR,6,2,1/20/23,water logged,,
611,J1,8,C,WL1,7,7,12/13/22,red pick,,
612,J1,8,D,CP2,8,3,2/3/23,Rain damage,,
613,J1,9,C,BH,5,30,,,,
614,J1,9,D,CC,2,6,,,,
615,J1,10,C,BH,3,1,,,,
616,J1,10,D,IH,4,14,1/6/23,gone,,
617,J1,11,C,YO8,7,4,2/17/23,broken stem,,
618,J1,11,D,CP2,7,12,2/10/23,gone,,
619,J1,12,C,BH,7,23,1/27/23,wilted,,
620,J1,12,D,SQ2,7,7,2/17/23,crispy,,
621,J1,13,C,TM2,6,7,,,,
622,J1,13,D,WR,1,6,1/27/23,wilted,,
623,J1,14,C,WL1,6,10,,,,
624,J1,14,D,BH,4,8,,,,
625,J1,15,C,WL1,1,9,2/3/23,Rain,root rot,
626,J1,15,D,CP3,2,7,2/10/23,rot/pulled out,,
627,J1,16,C,CC,6,4,2/17/23,gone,,
628,J1,16,D,BH,5,5,2/3/23,Rain,stem rot,
629,J1,17,C,WL2,4,6,,,,
630,J1,17,D,SQ2,6,10,1/20/23,gone,,
631,J1,18,C,SC,2,2,2/10/23,2/3/23 stem maybe alive; rot,,
632,J1,18,D,LV3,7,8,,,,
633,J1,19,C,BH,5,20,,,,
634,J1,19,D,LVTR1,7,4,1/20/23,wilted,,
635,J1,20,C,CP2,3,12,,,,
636,J1,20,D,WL1,2,6,2/3/23,rain damage,stem rot,
637,J1,21,C,buffer,,,,,,
638,J1,21,D,DPR,4,8,2/17/23,crispy,,
639,J2,22,C,buffer,,,,,,
640,J2,22,D,buffer,,,2/3/23,Rain damage,,
641,J2,23,C,YO4,4,3,2/3/23,Rain damage,,
642,J2,23,D,BH,4,9,,,,
643,J2,24,C,SQ2,6,11,2/3/23,Rain damage,,
644,J2,24,D,WL1,5,3,1/6/23,gone,,
645,J2,25,C,WL2,5,4,2/10/23,rot,,
646,J2,25,D,BH,2,5,,,,
647,J2,26,C,YO8,7,6,,,,
648,J2,26,D,CP2,5,1,12/13/22,red pick,,
649,J2,27,C,YO7,6,10,2/10/23,1/6 new germ; 2/10 germ dead; rot,,
650,J2,27,D,IH,7,9,,,,
651,J2,28,C,SC,4,5,1/20/23,gone,,
652,J2,28,D,WL1,6,17,2/17/23,crispy,,
653,J2,29,C,YO11,2,2,,,,
654,J2,29,D,SQ2,4,2,1/12/23,wilted/waterlogged,,
655,J2,30,C,BH,4,14,,,,
656,J2,30,D,WL1,4,7,1/20/23,gone,,
657,J2,31,C,BH,5,6,,,,
658,J2,31,D,BH,7,14,,,,
659,J2,32,C,WR,1,9,1/20/23,gone,,
660,J2,32,D,BH,3,12,,,,
661,J2,33,C,WL1,6,1,1/27/23,1/20 stem only 1/27 gone,,
662,J2,33,D,LV3,6,5,,,,
663,J2,34,C,LV3,1,3,2/17/23,crispy,,
664,J2,34,D,SQ1,7,18,1/12/23,,,
665,J2,35,C,BH,7,11,2/3/23,Rain damage,,
666,J2,35,D,SC,5,7,2/10/23,rot,,
667,J2,36,C,CC,5,5,,,,
668,J2,36,D,BH,5,21,,,,
669,J2,37,C,WL1,7,8,,,,
670,J2,37,D,IH,5,11,1/6/23,gone,,
671,J2,38,C,LV3,8,4,1/6/23,gone,,
672,J2,38,D,LV3,2,6,1/20/23,gone,,
673,J2,39,C,CC,2,3,,,,
674,J2,39,D,SQ3,4,10,12/21/22,,,
675,J2,40,C,FR,5,3,2/10/23,rot,,
676,J2,40,D,WL1,6,11,,,,
677,J2,41,C,buffer,,,,,,
678,J2,41,D,BH,7,1,12/13/22,red pick,,
679,J2,42,C,buffer,,,,,,
680,J2,42,D,buffer,,,,,,
681,J2,43,C,buffer,,,,,,
682,J2,43,D,buffer,,,,,,
683,L1,1,A,buffer,,,,,,
684,L1,1,B,buffer,,,,,,
685,L1,2,A,buffer,,,,,,
686,L1,2,B,buffer,,,,,,
687,L1,3,A,YO11,7,13,2/17/23,crispy,,
688,L1,3,B,IH,4,8,,,,
689,L1,4,A,SC,5,8,,,,
690,L1,4,B,CP2,2,2,1/6/23,rain soaked /wilted,,
691,L1,5,A,WL2,3,100,,new germ 1/12,,
692,L1,5,A,WL2,3,8,12/13/22,1/12 orig plant dead; new = 3-100,,
693,L1,5,B,BH,2,6,,,,
694,L1,6,A,TM2,1,11,,1/6 new gern,,
695,L1,6,B,WL1,1,28,2/17/23,broken stem,,
696,L1,7,A,WL1,1,18,2/10/23,rot,,
697,L1,7,B,SQ2,5,7,,1/12 new germ (looks old) 2/17 germ dead,,
698,L1,8,A,CC,4,6,,,,
699,L1,8,B,BH,7,2,,,,
700,L1,9,A,WV,4,4,1/27/23,,,
701,L1,9,B,DPR,3,7,1/12/23,wilted / waterlogged,,
702,L1,10,A,BH,2,14,,,,
703,L1,10,B,SC,1,9,,,,
704,L1,11,A,CP2,3,8,,,,
705,L1,11,B,BH,3,3,,,,
706,L1,12,A,WL2,4,9,,1/12 new germ,,
707,L1,12,B,SC,6,6,,,,
708,L1,13,A,FR,6,12,,,,
709,L1,13,B,SQ1,7,19,2/17/23,broken stem,,
710,L1,14,A,IH,1,7,2/17/23,crispy,,
711,L1,14,B,YO7,8,3,,,,
712,L1,15,A,BH,5,7,2/10/23,rot/broken stem,,
713,L1,15,B,TM2,3,12,,,,
714,L1,16,A,FR,5,10,2/10/23,rot/broken stem,,
715,L1,16,B,WL1,6,2,2/17/23,crispy,,
716,L1,17,A,WL1,2,8,1/12/23,wilted /waterlogged,,
717,L1,17,B,FR,2,1,2/10/23,rot,,
718,L1,18,A,TM2,7,11,,,,
719,L1,18,B,LV3,2,4,1/20/23,gone,,
720,L1,19,A,LVTR1,5,12,12/13/22,red pick,,
721,L1,19,B,DPR,4,11,,,,
722,L1,20,A,BH,7,15,,,,
723,L1,20,B,YO11,6,6,1/27/23,,,
724,L1,21,A,TM2,2,5,,,,
725,L1,21,B,IH,4,16,1/6/23,gone,,
726,L1,22,A,LV3,4,6,,,,
727,L1,22,B,WL1,7,23,1/27/23,gone,,
728,L2,23,A,buffer,,,,,,
729,L2,23,B,buffer,,,,,,
730,L2,24,A,YO8,6,2,1/20/23,gone,,
731,L2,24,B,IH,7,1,1/6/23,gone,,
732,L2,25,A,CP2,5,10,,,,
733,L2,25,B,WL1,1,19,1/6/23,gone,,
734,L2,26,A,SC,4,7,,,,
735,L2,26,B,IH,1,6,1/6/23,gone,,
736,L2,27,A,WL1,6,19,1/6/23,gone,,
737,L2,27,B,WL1,2,9,1/6/23,gone,,
738,L2,28,A,CP2,7,6,2/10/23,one,,
739,L2,28,B,IH,4,17,2/3/23,Disconnected,,
740,L2,29,A,CP2,9,4,2/17/23,1/12 herbiv crispy,,
741,L2,29,B,WL1,1,2,1/6/23,gone,,
742,L2,30,A,TM2,1,12,,,,
743,L2,30,B,YO11,6,9,2/3/23,Disconnected,,
744,L2,31,A,WL1,7,24,2/17/23,crispy,,
745,L2,31,B,FR,3,13,2/17/23,broken stem,,
746,L2,32,A,CC,5,3,,,,
747,L2,32,B,SQ1,7,20,2/17/23,crispy,,
748,L2,33,A,WL1,1,12,2/10/23,rot / pulled out Stem,,
749,L2,33,B,SQ2,4,3,1/6/23,gone,,
750,L2,34,A,WL1,6,13,,,,
751,L2,34,B,TM2,5,8,,,,
752,L2,35,A,TM2,4,9,,,,
753,L2,35,B,SC,5,9,2/10/23,rot / pulled out Stem,,
754,L2,36,A,FR,1,9,1/6/23,gone,,
755,L2,36,B,YO4,2,2,2/10/23,rot / pulled out Stem,,
756,L2,37,A,WL1,6,3,1/6/23,gone,,
757,L2,37,B,DPR,6,3,,,,
758,L2,38,A,WL1,4,14,1/6/23,gone,,
759,L2,38,B,BH,3,4,1/6/23,nub,,
760,L2,39,A,SQ1,1,7,1/6/23,gone,,
761,L2,39,B,LV3,6,8,2/3/23,Disconnected,,
762,L2,40,A,LV1,7,2,1/6/23,gone,,
763,L2,40,B,YO8,7,11,2/17/23,crispy,,
764,L2,41,A,WL2,5,1,2/17/23,crispy,,
765,L2,41,B,SQ1,2,4,2/3/23,Disconnected,,
766,L2,42,A,CC,1,9,1/6/23,gone,,
767,L2,42,B,SC,6,8,2/10/23,rot,,
768,L2,43,A,buffer,,,,,,
769,L2,43,B,buffer,,,,,,
770,L2,44,A,buffer,,,,,,
771,L2,44,B,buffer,,,,,,
772,L1,1,C,buffer,,,,,,
773,L1,1,D,buffer,,,,,,
774,L1,2,C,buffer,,,,,,
775,L1,2,D,buffer,,,,,,
776,L1,3,C,SQ3,4,3,,2/10-not dead,,
777,L1,3,D,SQ1,7,11,,,,
778,L1,4,C,SQ1,5,13,1/20/23,gone,,
779,L1,4,D,BH,4,10,,,,
780,L1,5,C,YO7,2,1,,,,
781,L1,5,D,WL1,1,11,,torn out,replanted 12/21,
782,L1,6,C,LV3,1,4,,,,
783,L1,6,D,WL1,6,18,,,,
784,L1,7,C,WR,2,2,,,,
785,L1,7,D,SC,4,6,,,,
786,L1,8,C,WL1,6,12,,,,
787,L1,8,D,WL1,7,9,,,,
788,L1,9,C,CP2,10,1,2/10/23,gone,,
789,L1,9,D,SQ1,7,1,2/3/23,Disconnected,,
790,L1,10,C,WL1,1,1,,,,
791,L1,10,D,LV3,8,1,,,,
792,L1,11,C,FR,2,10,2/3/23,Gone,,
793,L1,11,D,IH,7,10,,,,
794,L1,12,C,SQ1,2,9,,,,
795,L1,12,D,CP2,8,2,2/10/23,rot,,
796,L1,13,C,BH,3,13,,,,
797,L1,13,D,BH,5,22,,,,
798,L1,14,C,YO8,7,2,2/17/23,crispy,,
799,L1,14,D,CC,1,1,2/10/23,rot,,
800,L1,15,C,WL1,3,3,1/6/23,water logged/ wilted,,
801,L1,15,D,WL1,4,8,,,,
802,L1,16,C,BH,6,5,,,,
803,L1,16,D,DPR,6,13,,,,
804,L1,17,C,CC,7,3,,,,
805,L1,17,D,CC,5,11,1/6/23,gone,,
806,L1,18,C,CP3,9,2,2/10/23,rot,,
807,L1,18,D,BH,7,12,2/17/23,crispy,,
808,L1,19,C,WL2,7,3,,,,
809,L1,19,D,SQ2,6,12,,,,
810,L1,20,C,WL1,6,28,2/17/23,crispy,,
811,L1,20,D,LV3,7,10,,,,
812,L1,21,C,LV3,5,8,1/6/23,gone,,
813,L1,21,D,SQ1,1,6,,,,
814,L1,22,C,buffer,,,,,,
815,L1,22,D,CC,3,8,1/6/23,gone,,
816,L2,23,C,LV3,3,3,1/27/23,,,
817,L2,23,D,buffer,,,,,,
818,L2,24,C,CC,6,10,1/6/23,gone,,
819,L2,24,D,LV3,8,3,1/6/23,gone,,
820,L2,25,C,BH,5,23,1/6/23,gone,,
821,L2,25,D,FR,7,11,1/6/23,gone,,
822,L2,26,C,WR,1,7,,,,
823,L2,26,D,LVTR1,7,2,1/6/23,gone,,
824,L2,27,C,SQ3,3,3,,,,
825,L2,27,D,WL1,4,9,,1/20 herbivory damage,,
826,L2,28,C,BH,6,6,,,,
827,L2,28,D,BH,2,7,,,,
828,L2,29,C,LVTR1,1,11,12/13/22,red pick,,
829,L2,29,D,BH,3,14,,,,
830,L2,30,C,BH,4,11,,,,
831,L2,30,D,TM2,3,4,,,,
832,L2,31,C,SC,1,8,,,,
833,L2,31,D,LV3,5,9,,,,
834,L2,32,C,CP2,1,1,,1/20 herbivory damage,,
835,L2,32,D,CC,2,7,1/6/23,gone,,
836,L2,33,C,DPR,2,2,,,,
837,L2,33,D,WL2,4,10,1/6/23,gone 2/3/23 new germ,,
838,L2,34,C,BH,5,8,,,,
839,L2,34,D,WL1,7,14,1/12/23,torn out,replanted 12/21,gone 1/12
840,L2,35,C,WL1,7,10,,,,
841,L2,35,D,LV3,1,5,2/10/23,Shriveled,,
842,L2,36,C,WL1,3,5,1/6/23,gone,,
843,L2,36,D,SQ1,6,2,2/10/23,not broken stem,,
844,L2,37,C,SQ2,6,1,1/6/23,gone,,
845,L2,37,D,BH,7,16,,,,
846,L2,38,C,SQ1,7,2,,,,
847,L2,38,D,SQ1,7,12,2/17/23,boken stem,,
848,L2,39,C,LV3,7,11,,,,
849,L2,39,D,YO7,4,2,,1/6 nub 1/12 nub resprouted,,
850,L2,40,C,IH,7,11,,,,
851,L2,40,D,BH,7,13,,,,
852,L2,41,C,FR,4,13,,,,
853,L2,41,D,BH,4,1,,,,
854,L2,42,C,BH,7,3,2/10/23,rot,,
855,L2,42,D,IH,4,9,,,,
856,L2,43,C,buffer,,,,,,
857,L2,43,D,buffer,,,,,,
858,L2,44,C,buffer,,,,,,
859,L2,44,D,buffer,,,,,,
