order ,block,row,column,pop,mf,rep,death date,Notes,,
130,D2,22,D,LV3,7,13,,,,
131,D2,23,C,SQ3,4,11,2/17/23,crispy,,
132,D2,23,D,SQ2,6,3,2/17/23,crispy,,
133,D2,24,C,IH,4,11,,,,
134,D2,24,D,LV3,4,12,2/3/23,wilted / stem rot,,
135,D2,25,C,WL1,2,1,1/27/23,Shriveled,,
136,D2,25,D,FR,6,10,,,,
137,D2,26,C,WL1,4,11,2/17/23,crispy,,
138,D2,26,D,SC,5,11,,,,
139,D2,27,C,BH,7,5,,,,
140,D2,27,D,SC,4,10,,,,
141,D2,28,C,FR,2,9,2/17/23,crispy,,
142,D2,28,D,FR,1,6,2/10/23,shriveled / crispy,,
143,D2,29,C,BH,4,13,,,,
144,D2,29,D,BH,2,9,,,,
145,D2,30,C,CP2,5,2,2/17/23,crispy,,
146,D2,30,D,BH,1,10,,,,
147,D2,31,C,SQ1,1,11,2/3/23,wilted,,
148,D2,31,D,LVTR1,6,5,2/10/23,wilted/shriveled,,
149,D2,32,C,LV3,7,1,2/3/23,wilted,,
150,D2,32,D,WL1,3,9,1/12/23,wilted/water logged,,
151,D2,33,C,CP3,12,1,2/10/23,wilted / Shriveled,,
152,D2,33,D,BH,5,10,1/12/23,gone,,
153,D2,34,C,WL1,7,12,2/17/23,crispy,,
154,D2,34,D,SQ1,6,4,1/6/23,wilted /waterlogged,,
155,D2,35,C,SC,6,11,,,,
156,D2,35,D,BH,3,6,,,,
157,D2,36,C,IH,4,1,2/17/23,1/6/23 leaves stripped but Stem alive,,
158,D2,36,D,WL1,6,5,2/17/23,crispy,,
159,D2,37,C,SQ1,7,4,2/17/23,crispy,,
160,D2,37,D,LV3,5,11,2/3/23,wilted/stem rot,,
161,D2,38,C,YO7,2,10,12/13/22,,,
162,D2,38,D,SC,2,1,2/10/23,wilted,,
163,D2,39,C,WL1,7,16,,,,
164,D2,39,D,WL1,6,21,,,,
165,D2,40,C,TM2,2,1,,,,
166,D2,40,D,YO7,7,11,,,,
167,D2,41,C,WL1,7,2,,,,
168,D2,41,D,IH,2,9,,,,
169,D2,42,C,buffer,,,,,,
170,D2,42,D,buffer,,,,,,
171,D2,43,C,buffer,,,,,,
172,D2,43,D,buffer,,,,,,
173,F1,1,A,buffer,,,,,,
174,F1,1,B,buffer,,,,,,
175,F1,2,A,buffer,,,,,,
176,F1,2,B,buffer,,,,,,
177,F1,3,A,LV1,6,6,1/20/23,wilted,,
178,F1,3,B,CP2,5,13,,,,
179,F1,4,A,SQ2,6,4,2/17/23,crispy,,
180,F1,4,B,SQ3,3,4,,,,
181,F1,5,A,WL1,4,2,1/6/23,plant gone,,
182,F1,5,B,LVTR1,6,12,,,,
183,F1,6,A,CP2,4,4,,,,
184,F1,6,B,WL2,4,1,,,,
185,F1,7,A,LV3,1,8,1/12/23,wilted /water logged,,
186,F1,7,B,IH,4,20,,,,
187,F1,8,A,TM2,2,2,,,,
188,F1,8,B,SC,5,13,,,,
189,F1,9,A,DPR,2,5,,,,
190,F1,9,B,YO8,2,11,1/20/23,wilted,,
191,F1,10,A,BH,7,19,2/10/23,wilted,,
192,F1,10,B,WL1,1,5,1/20/23,1/6 crow pulled up/replanted; 1/20 wilted,,
193,F1,11,A,FR,5,9,,,,
194,F1,11,B,WL1,2,12,2/17/23,crispy,,
195,F1,12,A,CC,6,3,,,,
196,F1,12,B,TM2,1,3,,,,
197,F1,13,A,SC,6,12,1/20/23,1/12 Stem Stripped but new leaf; 1/20 gone,,
198,F1,13,B,WL1,7,27,2/17/23,crispy,,
199,F1,14,A,IH,4,12,,,,
200,F1,14,B,WL1,7,17,12/21/22,plant gone - crow?,,
201,F1,15,A,BH,6,9,,,,
202,F1,15,B,SQ1,1,12,2/17/23,crispy /broken,,
203,F1,16,A,WL1,2,2,,,,
204,F1,16,B,FR,2,4,2/17/23,crispy / broken,,
205,F1,17,A,WL1,6,22,2/17/23,crispy/ moldy,,
206,F1,17,B,BH,2,10,,,,
207,F1,18,A,WL1,5,8,2/10/23,wilted stem rot,,
208,F1,18,B,WL1,1,22,,,,
209,F1,19,A,WL2,5,11,,,,
210,F1,19,B,WL2,1,1,12/13/22,red pick,,
211,F1,20,A,LV3,7,2,2/3/23,wilted,,
212,F1,20,B,CC,2,4,,,,
213,F1,21,A,CC,4,13,12/13/22,red pick,,
214,F1,21,B,LV3,5,12,2/3/23,,,
215,F2,22,A,WL1,7,18,1/20/23,gone,,
216,F2,22,B,buffer,,,,,,
217,F2,23,A,WL1,2,3,2/10/23,wilted/Stem rot,,
218,F2,23,B,CP3,7,1,12/13/22,red pick,,
219,F2,24,A,TM2,3,13,,,,
220,F2,24,B,LVTR1,5,13,2/17/23,crispy,,
221,F2,25,A,YO8,1,10,2/10/23,wilted stem,,
222,F2,25,B,WL1,6,7,,,,
223,F2,26,A,SQ1,1,13,1/12/23,gone,,
224,F2,26,B,WR,1,11,2/10/23,wilted / Stem rot,,
225,F2,27,A,BH,7,7,2/10/23,wilted / Stem rot,,
226,F2,27,B,WL2,3,13,,1/6 leaves stripped but stem alive,,
227,F2,28,A,BH,5,2,1/6/23,gone,,
228,F2,28,B,WL1,6,23,,,,
229,F2,29,A,FR,8,1,2/3/23,Wilted,,
230,F2,29,B,BH,4,5,,,,
231,F2,30,A,YO7,4,4,1/20/23,gone,,
232,F2,30,B,WL1,7,28,,,,
233,F2,31,A,CC,7,8,,,,
234,F2,31,B,SC,6,1,,,,
235,F2,32,A,DPR,6,2,,,,
236,F2,32,B,LV3,5,1,,,,
237,F2,33,A,IH,1,12,,,,
238,F2,33,B,WL1,4,3,,,,
239,F2,34,A,IH,4,13,,,,
240,F2,34,B,YO7,5,5,,,,
241,F2,35,A,LV3,7,3,,,,
242,F2,35,B,WL1,1,23,,,,
243,F2,36,A,FR,2,12,,crow pulled up,replanted 12/21,
244,F2,36,B,CP2,3,5,2/17/23,broken Stem,,
245,F2,37,A,LV3,4,13,1/20/23,wilted,,
246,F2,37,B,SQ1,7,14,2/17/23,broken stem,,
247,F2,38,A,CP2,6,4,,,,
248,F2,38,B,SC,4,1,,,,
249,F2,39,A,TM2,3,2,,,,
250,F2,39,B,SC,5,1,,,,
251,F2,40,A,BH,3,8,2/17/23,wilted broken Stem,,
252,F2,40,B,BH,5,12,,,,
253,F2,41,A,DPR,2,4,2/17/23,gone.,,
254,F2,41,B,buffer,,,,,,
255,F2,42,A,buffer,,,,,,
256,F2,42,B,buffer,,,,,,
257,F2,43,A,buffer,,,,,,
258,F2,43,B,buffer,,,,,,
259,F1,1,C,buffer,,,,,,
260,F1,1,D,buffer,,,,,,
261,F1,2,C,buffer,,,,,,
262,F1,2,D,buffer,,,,,,
263,F1,3,C,BH,5,16,2/17/23,crispy,,
264,F1,3,D,SQ1,2,8,2/3/23,,,
265,F1,4,C,TM2,5,7,,,,
266,F1,4,D,LV3,6,9,,1/6 new germ; 2/17 gem dead,,
267,F1,5,C,BH,5,26,,,,
268,F1,5,D,YO4,1,13,12/21/22,plant gone - crow?,,
269,F1,6,C,DPR,6,9,,crow pulled up replanted 12/21,,
270,F1,6,D,LV3,4,9,1/20/23,gone,,
271,F1,7,C,IH,1,10,2/17/23,crispy,,
272,F1,7,D,BH,7,6,,,,
273,F1,8,C,WL1,6,6,2/10/23,wilted,,
274,F1,8,D,WL1,2,16,,,,
275,F1,9,C,SC,2,13,2/10/23,wilted,,
276,F1,9,D,TM2,5,13,2/10/23,wilted,,
277,F1,10,C,YO7,3,1,2/3/23,wilted,,
278,F1,10,D,CP3,2,3,1/27/23,,,
279,F1,11,C,WR,2,8,2/17/23,1/6 new gem; 2/10 new germ dead wilted/broken,,
280,F1,11,D,IH,4,2,1/6/23,gone,,
281,F1,12,C,SQ1,7,5,2/10/23,wilted/Stem rot,,
282,F1,12,D,FR,4,7,12/13/22,red pick,,
283,F1,13,C,BH,3,7,,,,
284,F1,13,D,FR,7,10,2/17/23,crispy,,
285,F1,14,C,YO11,3,3,2/17/23,broken,,
286,F1,14,D,YO7,7,13,1/6/23,gone,,
287,F1,15,C,BH,4,4,,,,
288,F1,15,D,IH,7,4,12/13/22,red pick,,
289,F1,16,C,LV3,2,5,2/17/23,wilted,,
290,F1,16,D,SQ2,7,6,12/13/22,red pick,1/6 new germ,1/12 germ died
291,F1,17,C,WL1,4,12,1/12/23,gone,,
292,F1,17,D,CC,3,13,,,,
293,F1,18,C,CP2,1,4,1/12/23,gone,,
294,F1,18,D,SC,4,13,2/10/23,wilted/stem rot,,
295,F1,19,C,WL1,7,3,2/17/23,willed/broken,,
296,F1,19,D,LVTR1,1,10,1/12/23,gone,,
297,F1,20,C,BH,5,11,2/10/23,wilted/stem rot,,
298,F1,20,D,BH,5,1,,,,
299,F1,21,C,buffer,,,,,,
300,F1,21,D,WL1,7,13,2/17/23,Stem not,,
301,F2,22,C,buffer,,,,,,
302,F2,22,D,buffer,,,,,,
303,F2,23,C,IH,4,21,2/17/23,crispy,,
304,F2,23,D,WL1,4,13,2/10/23,wilted/stem rot,,
305,F2,24,C,CC,1,6,2/17/23,broken stem,,
306,F2,24,D,WL2,4,3,1/27/23,1/6 two new germ,1/27 germs dead,
307,F2,25,C,BH,7,20,,,,
308,F2,25,D,FR,1,10,,,,
309,F2,26,C,WL1,3,2,1/12/23,gone,,
310,F2,26,D,SQ1,7,6,2/17/23,wilted,,
311,F2,27,C,WL1,2,13,,,,
312,F2,27,D,SQ1,3,4,1/6/23,stem nub,,
313,F2,28,C,LV3,1,9,,1/6 new germ 2/17 germ dead,,
314,F2,28,D,YO4,4,4,,,,
315,F2,29,C,SQ1,1,1,,,,
316,F2,29,D,CC,4,8,1/12/23,gone,,
317,F2,30,C,IH,4,3,,,,
318,F2,30,D,WL1,1,6,,,,
319,F2,31,C,BH,6,10,2/17/23,wilted,,
320,F2,31,D,YO11,6,7,1/20/23,gone,,
321,F2,32,C,WL1,7,4,,,,
322,F2,32,D,WL1,2,17,,,,
323,F2,33,C,BH,5,17,,crow pulled up; replanted 12/21,,
324,F2,33,D,BH,2,11,,,,
325,F2,34,C,SQ2,6,6,,,,
326,F2,34,D,CC,3,12,,,,
327,F2,35,C,BH,5,27,,,,
328,F2,35,D,BH,2,1,,,,
329,F2,36,C,LV3,8,5,2/17/23,broken stem,,
330,F2,36,D,CC,7,1,1/20/23,gone,,
331,F2,37,C,LV3,3,2,2/17/23,1/6 stem nub; 1/27 resprouted crispy,,
332,F2,37,D,LV3,5,13,2/10/23,wilted/stem rot,,
333,F2,38,C,SQ2,5,5,,,,
334,F2,38,D,SQ3,3,2,,,,
335,F2,39,C,CP2,4,6,,,,
336,F2,39,D,IH,7,5,1/12/23,gone,,
337,F2,40,C,DPR,7,4,,,,
338,F2,40,D,TM2,1,4,,,,
339,F2,41,C,FR,5,13,,Stem munched! Still alive2/17,,
340,F2,41,D,CP2,9,3,2/10/23,wilted/stem rot,,
341,F2,42,C,buffer,,,,,,
342,F2,42,D,buffer,,,,,,
343,F2,43,C,buffer,,,,,,
344,F2,43,D,buffer,,,,,,
345,H1,1,A,buffer,,,,,,
346,H1,1,B,buffer,,,,,,
347,H1,2,A,buffer,,,,,,
348,H1,2,B,buffer,,,,,,
349,H1,3,A,BH,7,8,1/6/23,plant gone,,
350,H1,3,B,SQ2,1,10,1/20/23,wilted /water logged,,
351,H1,4,A,YO7,2,9,,,,
352,H1,4,B,BH,2,12,,,,
353,H1,5,A,SQ1,7,15,,,,
354,H1,5,B,SC,4,2,,,,
355,H1,6,A,WL1,6,24,,,,
356,H1,6,B,LV3,5,2,,,,
357,H1,7,A,WR,2,7,,,,
358,H1,7,B,SQ1,1,2,,,,
359,H1,8,A,LV3,4,2,,,,
360,H1,8,B,BH,3,9,,,,
361,H1,9,A,WL1,6,8,,,,
362,H1,9,B,LV3,7,5,1/27/23,Shriveled,,
363,H1,10,A,WL2,4,4,,,,
364,H1,10,B,WL1,1,24,,,,
365,H1,11,A,WL1,2,4,,,,
366,H1,11,B,CC,7,2,,,,
367,H1,12,A,YO8,3,5,,,,
