survey date,block ,row ,col ,pop ,mf ,rep ,height (cm) ,longest leaf (cm) ,herbivory (Y or N) ,wilting status ,notes 
5/15/2023,B1 ,4,D ,CP2 ,1,11,,,,,
5/15/2023,B1 ,5,C ,DPR ,6,8,,,,,
5/15/2023,B1 ,5,D ,WV ,2,9,,,,,
5/15/2023,B1 ,6,C ,CP3 ,1,7,,,,,
5/15/2023,B1 ,6,D ,CP3 ,4,3,,,,,
5/15/2023,B1 ,7,C ,BH ,1,2,,,,,
5/15/2023,B1 ,7,D ,SQ3 ,4,12,,,,,
5/15/2023,B1 ,8,C ,WL2 ,2,13,10.3,1.8,Y,N,
5/15/2023,B1 ,8,D ,LVTR1 ,4,7,,,,,
5/15/2023,B1 ,9,C ,SC ,3,9,,,,,
5/15/2023,B1 ,9,D ,SQ3 ,1,11,,,,,
5/15/2023,B1 ,10,C ,DPR ,4,4,,,,,
5/15/2023,B1 ,10,D ,SQ3 ,7,8,,,,,
5/15/2023,B1 ,11,C ,WV ,3,13,,,,,
5/15/2023,B1 ,11,D ,LVTR1 ,5,10,,,,,
5/15/2023,B1 ,12,C ,WL2 ,4,2,,,,,
5/15/2023,B1 ,12,D ,YO4 ,3,10,,,,,
5/15/2023,B1 ,13,C ,WR ,3,2,,,,,
5/15/2023,B1 ,13,D ,WL2 ,6,13,,,,,
5/15/2023,B1 ,14,C ,LVTR1 ,1,9,,,,,
5/15/2023,B1 ,14,D ,CP3 ,5,6,,,,,
5/15/2023,B1 ,15,C ,YO4 ,6,7,,,,,
5/15/2023,B1 ,15,D ,LV1 ,1,2,,,,,
5/15/2023,B1 ,16,C ,LV1 ,7,8,,,,,
5/15/2023,B1 ,16,D ,LV1 ,3,8,,,,,
5/15/2023,B1 ,17,C ,WV ,6,8,,,,,
5/15/2023,B1 ,17,D ,CC ,1,10,,,,,
5/15/2023,B1 ,18,C ,FR ,3,2,,,,,
5/15/2023,B1 ,18,D ,CP3 ,6,10,,,,,
5/15/2023,B1 ,19,C ,YO7 ,6,7,,,,,
5/15/2023,B1 ,19,D ,YO8 ,3,11,3.1,3.2,Y,N,
5/15/2023,B1 ,20,C ,WV ,7,11,,,,,
5/15/2023,B1 ,20,D ,TM2 ,2,8,,,,,
5/15/2023,B1 ,21,C ,YO8 ,6,6,,,,,
5/15/2023,B1 ,21,D ,LV1 ,2,5,,,,,
5/15/2023,B1 ,22,C ,SQ2 ,1,2,,,,,
5/15/2023,B1 ,22,D ,TM2 ,3,3,,,,,
5/15/2023,B2 ,23,C ,LV1 ,3,2,,,,,
5/15/2023,B2 ,23,D ,SQ3 ,4,2,,,,,
5/15/2023,B2 ,24,C ,SQ2 ,6,9,,,,,
5/15/2023,B2 ,24,D ,SQ3 ,1,5,4.2,4.7,Y,N,
5/15/2023,B2 ,25,C ,DPR ,5,6,,,,,
5/15/2023,B2 ,25,D ,LVTR1 ,2,9,,,,,
5/15/2023,B2 ,26,C ,SC ,4,9,,,,,
5/15/2023,B2 ,26,D ,WL1 ,5,12,,,,,
5/15/2023,B2 ,27,C ,SC ,3,3,,,,,
5/15/2023,B2 ,27,D ,YO11 ,4,6,,,,,
5/15/2023,B2 ,28,C ,CC ,6,2,,,,,
5/15/2023,B2 ,28,D ,SQ2 ,3,4,,,,,
5/15/2023,B2 ,29,C ,CP3 ,7,9,,,,,
5/15/2023,B2 ,29,D ,CP2 ,4,11,,,,,
5/15/2023,B2 ,30,C ,YO11 ,5,10,,,,,
5/15/2023,B2 ,30,D ,YO7 ,1,7,,,,,
5/15/2023,B2 ,31,C ,WL2 ,5,7,,,,,
5/15/2023,B2 ,31,D ,YO7 ,7,5,,,,,
5/15/2023,B2 ,32,C ,WR ,3,13,,,,,
5/15/2023,B2 ,32,D ,SQ2 ,2,1,,,,,
5/15/2023,B2 ,33,C ,FR ,6,13,,,,,
5/15/2023,B2 ,33,D ,IH ,6,7,,,,,
5/15/2023,B2 ,34,C ,DPR ,1,12,,,,,
5/15/2023,B2 ,34,D ,WR ,2,9,,,,,
5/15/2023,B2 ,35,C ,LVTR1 ,1,3,,,,,
5/15/2023,B2 ,35,D ,YO11 ,7,7,,,,,
5/15/2023,B2 ,36,C ,LV1 ,4,7,,,,,
5/15/2023,B2 ,36,D ,YO4 ,3,4,,,,,
5/15/2023,B2 ,37,C ,YO8 ,3,3,,,,,
5/15/2023,B2 ,37,D ,SQ2 ,4,10,,,,,
5/15/2023,B2 ,38,C ,WV ,7,5,,,,,
5/15/2023,B2 ,38,D ,SQ1 ,6,9,,,,,
5/15/2023,B2 ,39,C ,YO4 ,7,4,,,,,
5/15/2023,B2 ,39,D ,YO7 ,6,1,,,,,
5/15/2023,B2 ,40,C ,CP3 ,6,4,,,,,
5/15/2023,B2 ,40,D ,YO8 ,1,11,,,,,
5/15/2023,B2 ,41,C ,WL2 ,2,7,,,,,
5/15/2023,B2 ,41,D ,LVTR1 ,7,1,,,,,
5/15/2023,B2 ,42,C ,CC ,5,1,,,,,
5/15/2023,B2 ,42,D ,LV1 ,1,12,,,,,
