block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes , 
E1 ,12,B ,FR ,4,5,X ,,,,,,,,,,,,
E1 ,13,A ,LV1 ,7,4,X ,,,,,,,,,,,,
E1 ,13,B ,SQ1 ,2,1,X ,,,,,,,,,,,,
E1 ,14,A ,SQ3 ,4,6,X ,,,,,,,,,,,,
E1 ,14,B ,WV ,1,2,X ,,,,,,,,,,,,
E1 ,15,A ,YO8 ,3,7,X ,,,,,,,,,,,,
E1 ,15,B ,DPR ,7,6,X ,,,,,,,,,,,,
E1 ,16,A ,SQ1 ,3,10,X ,,,,,,,,,,,,
E1 ,16,B ,YO7 ,7,7,X ,,,,,,,,,,,,
E1 ,17,A ,CP2 ,6,9,X ,,,,,,,,,,,,
E1 ,17,B ,LVTR1 ,5,6,X ,,,,,,,,,,,,
E1 ,18,A ,YO8 ,6,1,X ,,,,,,,,,,,,
E1 ,18,B ,IH ,5,3,X ,,,,,,,,,,,,
E1 ,19,A ,SQ3 ,2,10,X ,,,,,,,,,,,,
E1 ,19,B ,LV1 ,2,1,X ,,,,,,,,,,,,
E1 ,20,A ,YO11 ,1,10,X ,,,,,,,,,,,,
E1 ,20,B ,LVTR1 ,4,3,X ,,,,,,,,,,,,
E1 ,21,A ,LV1 ,4,9,X ,,,,,,,,,,,,
E1 ,21,B ,WV ,6,4,X ,,,,,,,,,,,,
E1 ,22,A ,DPR ,2,9,X ,,,,,,,,,,,,
E1 ,22,B ,CP3 ,7,11,X ,,,,,,,,,,,,
E2 ,23,A ,WV ,3,11,X ,,,,,,,,,,,,
E2 ,23,B ,YO8 ,6,4,X ,,,,,,,,,,,,
E2 ,24,A ,LV3 ,3,5,X ,,,,,,,,,,,,
E2 ,24,B ,SQ3 ,1,9,X ,,,,,,,,,,,,
E2 ,25,A ,YO7 ,4,13,X ,,,,,,,,,,,,
E2 ,25,B ,LVTR1 ,7,8,X ,,,,,,,,,,,,
E2 ,26,A ,LV1 ,6,1,X ,,,,,,,,,,,,
E2 ,26,B ,IH ,3,2,X ,,,,,,,,,,,,
E2 ,27,A ,YO11 ,3,5,X ,,,,,,,,,,,,
E2 ,27,B ,IH ,6,11,X ,,,,,,,,,,,,
E2 ,28,A ,LVTR1 ,2,13,X ,,,,,,,,,,,,
E2 ,28,B ,YO4 ,3,8,X ,,,,,,,,,,,,
E2 ,29,A ,SQ2 ,2,5,X ,,,,,,,,,,,,
E2 ,29,B ,CP3 ,5,4,X ,,,,,,,,,,,,
E2 ,30,A ,LV1 ,4,11,X ,,,,,,,,,,,,
E2 ,30,B ,CP2 ,5,4,X ,,,,,,,,,,,,
E2 ,31,A ,IH ,5,5,X ,,,,,,,,,,,,
E2 ,31,B ,SC ,1,13,X ,,,,,,,,,,,,
E2 ,32,A ,YO8 ,3,9,X ,,,,,,,,,,,,
E2 ,32,B ,SQ3 ,5,13,X ,,,,,,,,,,,,
E2 ,33,A ,LVTR1 ,5,8,X ,,,,,,,,,,,,
E2 ,33,B ,WR ,2,13,V ,8.52,5.1,1,Y ,W ,0.8,,,,,,
E2 ,34,A ,YO7 ,7,9,V ,8.49,11.6,5,Y ,N ,3.5,,,,,,
E2 ,34,B ,LV1 ,2,3,X ,,,,,,,,,,,,
E2 ,35,A ,SQ3 ,7,5,X ,,,,,,,,,,,,
E2 ,35,B ,YO11 ,7,11,X ,,,,,,,,,,,,
E2 ,36,A ,CP3 ,2,11,X ,,,,,,,,,,,,
E2 ,36,B ,FR ,1,3,X ,,,,,,,,,,,,
E2 ,37,A ,CC ,1,7,X ,,,,,,,,,,,,
E2 ,37,B ,WV ,2,7,X ,,,,,,,,,,,,
E2 ,38,A ,WV ,5,3,X ,,,,,,,,,,,,
E2 ,38,B ,SQ3 ,2,12,X ,,,,,,,,,,,,
E2 ,39,A ,FR ,2,5,X ,,,,,,,,,,,,
E2 ,39,B ,CP3 ,4,1,X ,,,,,,,,,,,,
E2 ,40,A ,WV ,6,6,X ,,,,,,,,,,,,
E2 ,40,B ,DPR ,5,10,X ,,,,,,,,,,,,
E2 ,41,A ,SC ,3,7,X ,,,,,,,,,,,,
E2 ,41,B ,LV1 ,3,6,X ,,,,,,,,,,,,
E2 ,42,A ,DPR ,4,2,X ,,,,,,,,,,,,
E2 ,42,B ,FR ,4,8,X ,,,,,,,,,,,,
E2 ,43,A ,YO11 ,6,2,X ,,,,,,,,,,,,
E2 ,43,B ,IH ,1,5,X ,,,,,,,,,,,,
E2 ,44,A ,TM2 ,3,6,X ,,,,,,,,,,,,
E2 ,44,B ,WL2 ,5,5,X ,,,,,,,,,,,,
E1 ,1,C ,CC ,2,11,X ,,,,,,,,,,,,
E1 ,1,D ,YO7 ,3,4,X ,,,,,,,,,,,,
E1 ,2,C ,CP3 ,3,12,X ,,,,,,,,,,,,
E1 ,2,D ,YO8 ,4,11,X ,,,,,,,,,,,,
E1 ,3,C ,CP3 ,6,6,X ,,,,,,,,,,,,
E1 ,3,D ,LV1 ,3,4,X ,,,,,,,,,,,,
E1 ,4,C ,LVTR1 ,7,5,X ,,,,,,,,,,,,
E1 ,4,D ,CP2 ,1,7,X ,,,,,,,,,,,,
E1 ,5,C ,YO4 ,2,3,X ,,,,,,,,,,,,
E1 ,5,D ,WL2 ,2,9,X ,,,,,,,,,,,,
E1 ,6,C ,YO7 ,6,3,X ,,,,,,,,,,,,
E1 ,6,D ,SQ3 ,1,7,X ,,,,,,,,,,,,
E1 ,7,C ,CC ,1,4,X ,,,,,,,,,,,,
E1 ,7,D ,SQ2 ,7,2,X ,,,,,,,,,,,,
E1 ,8,C ,IH ,1,1,X ,,,,,,,,,,,,
E1 ,8,D ,YO7 ,4,10,X ,,,,,,,,,,,,
E1 ,9,C ,SQ3 ,7,3,V ,5.79,1.4,1,N ,SW ,3,,,,,,
E1 ,9,D ,SQ2 ,3,6,X ,,,,,,,,,,,,
E1 ,10,C ,TM2 ,6,10,X,,,,,,,,,,,,
E1 ,10,D ,YO11 ,7,9,X ,,,,,,,,,,,,
E1 ,11,C ,WV ,2,5,X ,,,,,,,,,,,,
E1 ,11,D ,YO8 ,7,1,X ,,,,,,,,,,,,
E1 ,12,C ,LV3 ,6,12,X ,,,,,,,,,,,,
E1 ,12,D ,YO4 ,7,6,X ,,,,,,,,,,,,
E1 ,13,C ,LVTR1 ,1,5,X ,,,,,,,,,,,,
E1 ,13,D ,TM2 ,4,6,P ,2.49,21.3,1,N ,N ,,2,5,5.3,1,,
E1 ,14,C ,SQ2 ,2,3,X ,,,,,,,,,,,,
E1 ,14,D ,LV3 ,3,1,X ,,,,,,,,,,,,
E1 ,15,C ,YO11 ,3,2,X ,,,,,,,,,,,,
E1 ,15,D ,CP3 ,1,3,X ,,,,,,,,,,,,
E1 ,16,C ,CP2 ,4,13,X ,,,,,,,,,,,,
E1 ,16,D ,SQ2 ,4,12,X ,,,,,,,,,,,,
E1 ,17,C ,SC ,4,12,X ,,,,,,,,,,,,
E1 ,17,D ,SQ3 ,5,11,V ,5.37,4,5,N ,N ,4.3,,,,,white fungus ,
E1 ,18,C ,WL1 ,3,8,X ,,,,,,,,,,,,
E1 ,18,D ,CP3 ,2,9,X ,,,,,,,,,,,,
E1 ,19,C ,YO7 ,1,9,X ,,,,,,,,,,,,
E1 ,19,D ,FR ,6,11,X ,,,,,,,,,,,,
E1 ,20,C ,YO11 ,5,12,X ,,,,,,,,,,,,
E1 ,20,D ,WL2 ,1,2,V ,11.94,14.4,1,N ,N ,3.4,,,,,,
E1 ,21,C ,CP3 ,5,2,V ,2.17,0.8,3,N,N ,2,,,,,,
E1 ,21,D ,SQ1 ,6,11,X ,,,,,,,,,,,,
E1 ,22,C ,YO11 ,4,8,X ,,,,,,,,,,,,
E1 ,22,D ,TM2 ,2,9,X ,,,,,,,,,,,,
E2 ,23,C ,YO7 ,3,6,X ,,,,,,,,,,,,
E2 ,23,D ,CP3 ,7,13,X ,,,,,,,,,,,,
E2 ,24,C ,CP2 ,3,1,X ,,,,,,,,,,,,
E2 ,24,D ,CP3 ,6,8,X ,,,,,,,,,,,,
E2 ,25,C ,WL2 ,2,11,X ,,,,,,,,,,,,
E2 ,25,D ,LV3 ,4,8,X ,,,,,,,,,,,,
E2 ,26,C ,YO4 ,5,1,V ,3.23,2.5,1,N,SW ,2.4,,,,,,
E2 ,26,D ,WL2 ,6,11,X ,,,,,,,,,,,,
E2 ,27,C ,SQ2 ,7,4,X ,,,,,,,,,,,,
E2 ,27,D ,LVTR1 ,4,5,X ,,,,,,,,,,,,
E2 ,28,C ,TM2 ,4,8,X ,,,,,,,,,,,,
E2 ,28,D ,CC ,6,11,X ,,,,,,,,,,,,
E2 ,29,C ,WL1 ,3,10,X ,,,,,,,,,,,,
E2 ,29,D ,DPR ,7,8,X ,,,,,,,,,,,,
E2 ,30,C ,SQ2 ,3,8,X ,,,,,,,,,,,,
E2 ,30,D ,YO7 ,6,5,X ,,,,,,,,,,,,
E2 ,31,C ,TM2 ,6,12,X ,,,,,,,,,,,,
E2 ,31,D ,YO4 ,7,8,X ,,,,,,,,,,,,
E2 ,32,C ,CC ,2,10,X ,,,,,,,,,,,,
E2 ,32,D ,DPR ,6,1,X ,,,,,,,,,,,,
E2 ,33,C ,SQ1 ,2,6,X ,,,,,,,,,,,,
E2 ,33,D ,LV1 ,7,6,X ,,,,,,,,,,,,
E2 ,34,C ,SQ3 ,4,8,X ,,,,,,,,,,,,
E2 ,34,D ,CP2 ,1,9,X ,,,,,,,,,,,,
E2 ,35,C ,YO11 ,4,11,X ,,,,,,,,,,,,
E2 ,35,D ,SC ,7,1,X ,,,,,,,,,,,,
E2 ,36,C ,YO4 ,6,5,X ,,,,,,,,,,,,
E2 ,36,D ,WL2 ,1,4,X ,,,,,,,,,,,,
E2 ,37,C ,WR ,1,3,X ,,,,,,,,,,,,
E2 ,37,D ,WV ,1,4,X ,,,,,,,,,,,,
E2 ,38,C ,YO11 ,1,12,X ,,,,,,,,,,,,
E2 ,38,D ,YO4 ,2,5,X ,,,,,,,,,,,,
E2 ,39,C ,YO8 ,4,13,X ,,,,,,,,,,,,
E2 ,39,D ,CP2 ,6,12,X ,,,,,,,,,,,,
E2 ,40,C ,SQ2 ,5,1,X ,,,,,,,,,,,,
E2 ,40,D ,SQ1 ,6,13,X ,,,,,,,,,,,,
E2 ,41,C ,SQ1 ,5,5,X ,,,,,,,,,,,,
E2 ,41,D ,WV ,7,9,X ,,,,,,,,,,,,
E2 ,42,C ,SQ1 ,3,12,X ,,,,,,,,,,,,
E2 ,42,D ,LVTR1 ,1,7,X ,,,,,,,,,,,,
E2 ,43,C ,YO7 ,1,11,X ,,,,,,,,,,,,
E2 ,43,D ,YO8 ,2,3,X ,,,,,,,,,,,,
E2 ,44,C ,YO8 ,7,13,X ,,,,,,,,,,,,
E2 ,44,D ,CP3 ,1,5,X ,,,,,,,,,,,,
G1 ,1,A ,YO7 ,1,6,V ,4.86,4.1,1,Y ,N ,1.5,,,,,,
G1 ,1,B ,SQ1 ,3,7,X ,,,,,,,,,,,,
G1 ,2,A ,WV ,4,11,X ,,,,,,,,,,,,
G1 ,2,B ,IH ,6,5,X ,,,,,,,,,,,,
G1 ,3,A ,CP3 ,4,12,X ,,,,,,,,,,,,
G1 ,3,B ,CC ,4,1,X ,,,,,,,,,,,,
G1 ,4,A ,FR ,5,8,X ,,,,,,,,,,,,
G1 ,4,B ,YO8 ,4,8,X ,,,,,,,,,,,,
G1 ,5,A ,CP2 ,4,10,V ,2.59,3.7,1,Y,N ,3.4,,,,,White fungus ,
G1 ,5,B ,DPR ,1,11,V ,1.17,2.6,1,Y ,N ,2.2,,,,,,
G1 ,6,A ,IH ,3,13,X ,,,,,,,,,,,,
G1 ,6,B ,DPR ,3,10,X ,,,,,,,,,,,,
G1 ,7,A ,SQ3 ,4,1,X ,,,,,,,,,,,,
G1 ,7,B ,CP3 ,3,9,X ,,,,,,,,,,,,
G1 ,8,A ,LV1 ,4,6,X ,,,,,,,,,,,,
G1 ,8,B ,LV3 ,6,10,X ,,,,,,,,,,,,
G1 ,9,A ,YO4 ,7,3,X ,,,,,,,,,,,,
G1 ,9,B ,TM2 ,4,3,X ,,,,,,,,,,,,
G1 ,10,A ,YO8 ,5,11,X,,,,,,,,,,,,
G1 ,10,B ,SQ3 ,6,13,X,,,,,,,,,,,,
G1 ,11,A ,YO7 ,2,13,X,,,,,,,,,,,,
G1 ,11,B ,SQ1 ,6,8,X,,,,,,,,,,,,
G1 ,12,A ,CP2 ,7,13,X,,,,,,,,,,,,
G1 ,12,B ,WL2 ,3,12,V ,2.61,4.3,5,Y ,N ,3.4,,,,,side branch proxy,
G1 ,13,A ,WL2 ,7,10,X ,,,,,,,,,,,,
G1 ,13,B ,CP3 ,6,3,X ,,,,,,,,,,,,
G1 ,14,A ,IH ,2,8,X ,,,,,,,,,,,,
G1 ,14,B ,SQ3 ,2,7,V ,3.33,3.9,6,Y,W ,4.1,,,,,side branch proxy ,
G1 ,15,A ,SQ2 ,6,5,X ,,,,,,,,,,,,
G1 ,15,B ,WV ,6,1,X ,,,,,,,,,,,,
G1 ,16,A ,SQ2 ,1,12,X ,,,,,,,,,,,,
G1 ,16,B ,SC ,5,12,X ,,,,,,,,,,,,
G1 ,17,A ,YO8 ,3,2,X ,,,,,,,,,,,,
G1 ,17,B ,SC ,1,6,X ,,,,,,,,,,,,
G1 ,18,A ,LVTR1 ,3,13,V ,1.21,3.5,1,N ,N ,1.6,,,,,,
G1 ,18,B ,SQ1 ,4,12,X ,,,,,,,,,,,,
G1 ,19,A ,YO7 ,5,13,X ,,,,,,,,,,,,
G1 ,19,B ,FR ,6,1,X,,,,,,,,,,,,
G1 ,20,A ,SQ2 ,4,9,X ,,,,,,,,,,,,
G1 ,20,B ,SC ,7,12,X ,,,,,,,,,,,,
G1 ,21,A ,WR ,2,6,X ,,,,,,,,,,,,
G1 ,21,B ,WL2 ,2,6,X ,,,,,,,,,,,,
G1 ,22,A ,CP2 ,1,2,X ,,,,,,,,,,,,
G1 ,22,B ,WV ,2,2,X ,,,,,,,,,,,,
G2 ,23,A ,FR ,3,1,X ,,,,,,,,,,,,
G2 ,23,B ,WL1 ,3,4,X ,,,,,,,,,,,,
G2 ,24,A ,SQ3 ,7,6,X ,,,,,,,,,,,,
G2 ,24,B ,CP3 ,5,5,X ,,,,,,,,,,,,
G2 ,25,A ,YO7 ,7,10,X ,,,,,,,,,,,,
G2 ,25,B ,YO4 ,2,6,X ,,,,,,,,,,,,
G2 ,26,A ,CP3 ,2,12,X ,,,,,,,,,,,,
G2 ,26,B ,YO7 ,3,7,X ,,,,,,,,,,,,
G2 ,27,A ,CP3 ,1,6,X ,,,,,,,,,,,,
G2 ,27,B ,LV1 ,7,7,X ,,,,,,,,,,,,
G2 ,28,A ,WR ,3,1,X ,,,,,,,,,,,,
G2 ,28,B ,SQ2 ,1,1,X,,,,,,,,,,,,
G2 ,29,A ,LV3 ,3,6,X ,,,,,,,,,,,,
G2 ,29,B ,SC ,7,2,X ,,,,,,,,,,,,
G2 ,30,A ,YO4 ,3,9,X ,,,,,,,,,,,,
G2 ,30,B ,CC ,5,8,X ,,,,,,,,,,,,
G2 ,31,A ,YO11 ,4,12,X ,,,,,,,,,,,,
G2 ,31,B ,IH ,1,13,X ,,,,,,,,,,,,
G2 ,32,A ,IH ,5,6,X ,,,,,,,,,,,,
G2 ,32,B ,LV3 ,5,4,X ,,,,,,,,,,,,
G2 ,33,A ,WV ,1,5,X ,,,,,,,,,,,,
G2 ,33,B ,LV1 ,4,12,X ,,,,,,,,,,,,
G2 ,34,A ,DPR ,7,9,X ,,,,,,,,,,,,
G2 ,34,B ,SQ3 ,4,9,X ,,,,,,,,,,,,
G2 ,35,A ,FR ,4,9,X ,,,,,,,,,,,,
G2 ,35,B ,LV1 ,3,7,X ,,,,,,,,,,,,
G2 ,36,A ,WL2 ,2,12,X ,,,,,,,,,,,,
G2 ,36,B ,CP2 ,3,13,X ,,,,,,,,,,,,
G2 ,37,A ,YO4 ,6,6,X ,,,,,,,,,,,,
G2 ,37,B ,YO8 ,2,4,X ,,,,,,,,,,,,
G2 ,38,A ,TM2 ,1,8,X ,,,,,,,,,,,,
G2 ,38,B ,WL2 ,5,9,X ,,,,,,,,,,,,
G2 ,39,A ,SQ1 ,3,13,X ,,,,,,,,,,,,
G2 ,39,B ,IH ,3,3,X ,,,,,,,,,,,,
G2 ,40,A ,SQ1 ,2,7,X ,,,,,,,,,,,,
G2 ,40,B ,YO7 ,6,6,X ,,,,,,,,,,,,
G2 ,41,A ,LV1 ,2,4,X ,,,,,,,,,,,,
G2 ,41,B ,WV ,2,8,X ,,,,,,,,,,,,
G2 ,42,A ,CP3 ,6,9,X ,,,,,,,,,,,,
G2 ,42,B ,LVTR1 ,1,8,X ,,,,,,,,,,,,
G2 ,43,A ,SQ2 ,2,6,X ,,,,,,,,,,,,
G2 ,43,B ,LVTR1 ,5,9,X ,,,,,,,,,,,,
G2 ,44,A ,DPR ,5,11,X ,,,,,,,,,,,,
G2 ,44,B ,LV1 ,1,1,X ,,,,,,,,,,,,
G1 ,1,C ,YO11 ,2,12,X ,,,,,,,,,,,,
G1 ,1,D ,SC ,3,2,X ,,,,,,,,,,,,
G1 ,2,C ,YO11 ,1,7,X,,,,,,,,,,,,
G1 ,2,D ,LVTR1 ,2,8,X,,,,,,,,,,,,
G1 ,3,C ,YO4 ,4,9,X ,,,,,,,,,,,,
G1 ,3,D ,WL2 ,6,6,X ,,,,,,,,,,,,
G1 ,4,C ,LV1 ,1,11,V ,6.77,4.3,3,Y ,W ,1.9,,,,,,
G1 ,4,D ,YO8 ,1,9,X ,,,,,,,,,,,,
G1 ,5,C ,SQ2 ,3,3,X ,,,,,,,,,,,,
G1 ,5,D ,SQ3 ,1,4,X ,,,,,,,,,,,,
G1 ,6,C ,LVTR1 ,6,10,V ,2.91,4.6,1,Y,N ,3.2,,,,,White fungus ,
G1 ,6,D ,DPR ,5,5,X ,,,,,,,,,,,,
G1 ,7,C ,YO7 ,4,6,V ,3.53,7.9,8,Y,N ,7,,,,,side branch proxy ,
G1 ,7,D ,LVTR1 ,1,2,X ,,,,,,,,,,,,
G1 ,8,C ,CP2 ,6,6,X ,,,,,,,,,,,,
G1 ,8,D ,CP3 ,7,8,X ,,,,,,,,,,,,
G1 ,9,C ,YO11 ,7,6,V ,2.65,3.7,6,Y,W ,2.1,,,,,Side branch proxy ,
G1 ,9,D ,FR ,7,12,X ,,,,,,,,,,,,
G1 ,10,C ,TM2 ,3,9,X ,,,,,,,,,,,,
G1 ,10,D ,SQ3 ,5,8,V ,12.34,6.5,1,Y ,W ,6,,,,,,
G1 ,11,C ,YO4 ,5,12,X ,,,,,,,,,,,,
G1 ,11,D ,TM2 ,6,6,X ,,,,,,,,,,,,
G1 ,12,C ,WL1 ,5,10,X ,,,,,,,,,,,,
G1 ,12,D ,LVTR1 ,5,3,X ,,,,,,,,,,,,
G1 ,13,C ,YO11 ,4,5,X ,,,,,,,,,,,,
G1 ,13,D ,WV ,7,4,X ,,,,,,,,,,,,
G1 ,14,C ,BH ,6,1,X ,,,,,,,,,,,,
G1 ,14,D ,WV ,3,6,X,,,,,,,,,,,,
G1 ,15,C ,YO4 ,3,3,X ,,,,,,,,,,,,
G1 ,15,D ,CC ,6,1,X ,,,,,,,,,,,,
G1 ,16,C ,LV1 ,6,13,X ,,,,,,,,,,,,
G1 ,16,D ,LV1 ,3,1,X ,,,,,,,,,,,,
G1 ,17,C ,YO7 ,7,4,V ,8.98,3.6,7,Y ,N ,2.7,,,,,side branch proxy ,
G1 ,17,D ,LV1 ,5,9,X ,,,,,,,,,,,,
G1 ,18,C ,YO4 ,1,11,X ,,,,,,,,,,,,
G1 ,18,D ,TM2 ,7,10,X ,,,,,,,,,,,,
G1 ,19,C ,CP2 ,2,9,X ,,,,,,,,,,,,
G1 ,19,D ,LV3 ,4,10,X ,,,,,,,,,,,,
G1 ,20,C ,CP3 ,2,5,X ,,,,,,,,,,,,
G1 ,20,D ,YO11 ,5,9,X ,,,,,,,,,,,,
G1 ,21,C ,FR ,4,1,X ,,,,,,,,,,,,
G1 ,21,D ,YO8 ,7,3,X ,,,,,,,,,,,,
G1 ,22,C ,DPR ,7,2,X ,,,,,,,,,,,,
G1 ,22,D ,WR ,3,12,X ,,,,,,,,,,,,
G2 ,23,C ,YO7 ,5,2,X ,,,,,,,,,,,,
G2 ,23,D ,WV ,3,12,X ,,,,,,,,,,,,
G2 ,24,C ,SQ2 ,3,9,X ,,,,,,,,,,,,
G2 ,24,D ,CC ,1,8,X ,,,,,,,,,,,,
G2 ,25,C ,YO8 ,6,5,X ,,,,,,,,,,,,
G2 ,25,D ,YO8 ,3,10,X ,,,,,,,,,,,,
G2 ,26,C ,LVTR1 ,4,6,X ,,,,,,,,,,,,
G2 ,26,D ,SC ,2,3,X ,,,,,,,,,,,,
G2 ,27,C ,BH ,1,1,X ,,,,,,,,,,,,
G2 ,27,D ,WR ,1,4,X ,,,,,,,,,,,,
G2 ,28,C ,YO4 ,7,9,X ,,,,,,,,,,,,
G2 ,28,D ,WV ,7,10,X ,,,,,,,,,,,,
G2 ,29,C ,SQ2 ,7,5,X ,,,,,,,,,,,,
G2 ,29,D ,WV ,5,4,X ,,,,,,,,,,,,
G2 ,30,C ,DPR ,2,8,X ,,,,,,,,,,,,
G2 ,30,D ,YO11 ,1,13,X ,,,,,,,,,,,,
G2 ,31,C ,WL2 ,6,12,X ,,,,,,,,,,,,
G2 ,31,D ,LVTR1 ,7,9,X ,,,,,,,,,,,,
G2 ,32,C ,YO8 ,5,1,X ,,,,,,,,,,,,
G2 ,32,D ,TM2 ,4,13,X ,,,,,,,,,,,,
G2 ,33,C ,DPR ,4,3,X ,,,,,,,,,,,,
G2 ,33,D ,LV1 ,6,2,X ,,,,,,,,,,,,
G2 ,34,C ,YO11 ,6,3,X ,,,,,,,,,,,,
G2 ,34,D ,LVTR1 ,3,1,X ,,,,,,,,,,,,
G2 ,35,C ,DPR ,1,1,X ,,,,,,,,,,,,
G2 ,35,D ,YO4 ,5,2,X ,,,,,,,,,,,,
G2 ,36,C ,SQ1 ,5,6,V ,4.34,5.1,5,Y ,N ,7.6,,,,,side branch proxy ,
G2 ,36,D ,CC ,6,12,X ,,,,,,,,,,,,
G2 ,37,C ,CP2 ,1,10,V ,0.42,0.4,1,N ,SW ,1.2,,,,,,
G2 ,37,D ,WV ,6,7,X ,,,,,,,,,,,,
G2 ,38,C ,YO11 ,3,6,X ,,,,,,,,,,,,
G2 ,38,D ,SC ,3,8,X ,,,,,,,,,,,,
G2 ,39,C ,CP2 ,6,13,X ,,,,,,,,,,,,
G2 ,39,D ,CP3 ,4,2,X ,,,,,,,,,,,,
G2 ,40,C ,CP2 ,5,5,X ,,,,,,,,,,,,
G2 ,40,D ,WL2 ,1,5,X ,,,,,,,,,,,,
G2 ,41,C ,YO7 ,1,12,X ,,,,,,,,,,,,
G2 ,41,D ,SQ3 ,6,1,X ,,,,,,,,,,,,
G2 ,42,C ,FR ,2,3,X ,,,,,,,,,,,,
G2 ,42,D ,SQ3 ,1,10,X ,,,,,,,,,,,,
G2 ,43,C ,SQ2 ,5,2,X ,,,,,,,,,,,,
G2 ,43,D ,TM2 ,6,13,X,,,,,,,,,,,,
G2 ,44,C ,SQ3 ,3,1,X ,,,,,,,,,,,,
G2 ,44,D ,YO11 ,7,12,X ,,,,,,,,,,,,
I1 ,1,A ,TM2 ,1,9,X ,,,,,,,,,,,no plant ,
I1 ,1,B ,YO4 ,4,2,V ,8.09,13.6,5,Y ,N ,2.9,,,,,,
I1 ,2,A ,CP3 ,3,5,X ,,,,,,,,,,,no plant ,
I1 ,2,B ,SQ3 ,5,4,X ,,,,,,,,,,,no plant ,
I1,3,A ,LVTR1 ,4,12,X ,,,,,,,,,,,no plant ,
I1,3,B ,LV1 ,2,10,X ,,,,,,,,,,,no plant ,
I1,4,A ,CP3 ,4,8,X ,,,,,,,,,,,no plant ,
I1,4,B ,LV1 ,7,13,X ,,,,,,,,,,,no plant ,
I1,5,A ,IH ,3,9,X ,,,,,,,,,,,no plant ,
I1,5,B ,DPR ,1,7,X ,,,,,,,,,,,no plant ,
I1,6,A ,YO4 ,2,12,X ,,,,,,,,,,,no plant ,
I1,6,B ,DPR ,3,5,X ,,,,,,,,,,,no plant ,
I1,7,A ,LV1 ,5,5,X ,,,,,,,,,,,no plant ,
I1,7,B ,YO8 ,4,4,V ,2.23,1.2,1,Y ,W ,1.7,,,,,,
I1,8,A ,DPR ,6,6,X ,,,,,,,,,,,no plant ,
I1,8,B ,SQ3 ,2,3,X ,,,,,,,,,,,no plant ,
I1,9,A ,CC ,7,10,X ,,,,,,,,,,,no plant ,
I1,9,B ,TM2 ,3,5,X ,,,,,,,,,,,no plant ,
I1,10,A ,CC ,5,13,X ,,,,,,,,,,,no plant ,
I1,10,B ,YO11 ,4,1,X ,,,,,,,,,,,no plant ,
I1,11,A ,YO7 ,3,13,X ,,,,,,,,,,,no plant ,
I1,11,B ,SC ,1,2,X ,,,,,,,,,,,no plant ,
I1,12,A ,LVTR1 ,2,3,X ,,,,,,,,,,,no plant ,
I1,12,B ,YO4 ,5,8,X ,,,,,,,,,,,no plant ,
I1,13,A ,YO7 ,1,2,X ,,,,,,,,,,,no plant ,
I1,13,B ,SQ2 ,4,4,X ,,,,,,,,,,,no plant ,
I1,14,A ,CC ,2,9,X ,,,,,,,,,,,no plant ,
I1,14,B ,YO7 ,6,13,X ,,,,,,,,,,,no plant ,
I1,15,A ,WV ,6,13,X ,,,,,,,,,,,no plant ,
I1,15,B ,FR ,5,4,X ,,,,,,,,,,,no plant ,
I1,16,A ,YO4 ,1,7,X ,,,,,,,,,,,no plant ,
I1,16,B ,WV ,1,11,X ,,,,,,,,,,,no plant ,
I1,17,A ,WL2 ,3,6,X ,,,,,,,,,,,no plant ,
I1,17,B ,LV1 ,6,9,V ,2.67,3.3,1,Y,N ,2.3,,,,,,
I1,18,A ,SQ1 ,3,2,X ,,,,,,,,,,,no plant ,
I1,18,B ,IH ,6,1,X ,,,,,,,,,,,no plant ,
I1,19,A ,FR ,6,8,X ,,,,,,,,,,,no plant ,
I1,19,B ,YO8 ,6,11,X ,,,,,,,,,,,no plant ,
I1,20,A ,SQ1 ,6,1,X ,,,,,,,,,,,no plant ,
I1,20,B ,WL2 ,6,2,X ,,,,,,,,,,,no plant ,
I1,21,A ,LV1 ,1,7,X ,,,,,,,,,,,no plant ,
I1,21,B ,SC ,2,9,X ,,,,,,,,,,,no plant ,
I1,22,A ,LV3 ,3,12,X ,,,,,,,,,,,no plant ,
I1,22,B ,CP2 ,2,5,X ,,,,,,,,,,,no plant ,
I2,23,A ,LV3 ,3,8,X ,,,,,,,,,,,no plant ,
I2,23,B ,DPR ,4,5,X ,,,,,,,,,,,no plant ,
I2,24,A ,WL2 ,3,1,X ,,,,,,,,,,,no plant ,
I2,24,B ,SQ3 ,3,6,X ,,,,,,,,,,,no plant ,
I2,25,A ,CP2 ,7,2,X ,,,,,,,,,,,no plant ,
I2,25,B ,CP3 ,1,8,X ,,,,,,,,,,,no plant ,
I2,26,A ,LVTR1 ,4,8,X ,,,,,,,,,,,no plant ,
I2,26,B ,CP2 ,3,7,X ,,,,,,,,,,,no plant ,
I2,27,A ,WR ,3,3,V,5.37,6.8,1,Y ,N ,6,,,,,,
I2,27,B ,LVTR1 ,3,3,X ,,,,,,,,,,,no plant ,
I2,28,A ,FR ,4,11,X ,,,,,,,,,,,no plant ,
I2,28,B ,YO8 ,3,13,X ,,,,,,,,,,,no plant ,
