block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes , 
B2 ,37,B ,FR ,7,13,X ,,,,,,,,,,,,
B2 ,38,A ,TM2 ,2,10,X ,,,,,,,,,,,,
B2 ,38,B ,SQ3 ,2,8,X ,,,,,,,,,,,,
B2 ,39,A ,WV ,4,12,X ,,,,,,,,,,,,
B2 ,39,B ,CP3 ,4,13,X ,,,,,,,,,,,,
B2 ,40,A ,LV1 ,7,1,X ,,,,,,,,,,,,
B2 ,40,B ,YO7 ,4,8,X ,,,,,,,,,,,,
B2 ,41,A ,TM2 ,7,12,X ,,,,,,,,,,,,
B2 ,41,B ,FR ,4,3,X ,,,,,,,,,,,,
B2 ,42,A ,SQ1 ,1,8,X ,,,,,,,,,,,,
B2 ,42,B ,FR ,5,11,X ,,,,,,,,,,,,
B2 ,43,A ,YO4 ,4,10,X ,,,,,,,,,,,,
B2 ,43,B ,LVTR1 ,4,1,X ,,,,,,,,,,,,
B2 ,44,A ,YO8 ,4,9,X ,,,,,,,,,,,,
B2 ,44,B ,YO8 ,5,12,X ,,,,,,,,,,,,
B1 ,1,C ,LV1 ,4,13,X ,,,,,,,,,,,,
B1 ,1,D ,YO4 ,5,3,X ,,,,,,,,,,,,
B1 ,2,C ,YO4 ,7,10,X ,,,,,,,,,,,,
B1 ,2,D ,YO4 ,2,7,X ,,,,,,,,,,,,
B1 ,3,C ,CP2 ,7,1,X ,,,,,,,,,,,,
B1 ,3,D ,YO4 ,1,2,X ,,,,,,,,,,,,
B1 ,4,C ,SQ3 ,3,5,X ,,,,,,,,,,,,
B1 ,4,D ,CP2 ,1,11,X ,,,,,,,,,,,,
B1 ,5,C ,DPR ,6,8,X ,,,,,,,,,,,,
B1 ,5,D ,WV ,2,9,X ,,,,,,,,,,,,
B1 ,6,C ,CP3 ,1,7,X ,,,,,,,,,,,,
B1 ,6,D ,CP3 ,4,3,X ,,,,,,,,,,,,
B1 ,7,C ,BH ,1,2,X ,,,,,,,,,,,,
B1 ,7,D ,SQ3 ,4,12,X ,,,,,,,,,,,,
B1 ,8,C ,WL2 ,2,13,V ,2.77,11.5,7,Y ,N ,1.9,,,,,side branch proxy ,
B1 ,8,D ,LVTR1 ,4,7,X ,,,,,,,,,,,,
B1 ,9,C ,SC ,3,9,X ,,,,,,,,,,,,
B1 ,9,D ,SQ3 ,1,11,X ,,,,,,,,,,,,
B1 ,10,C ,DPR ,4,4,X ,,,,,,,,,,,,
B1 ,10,D ,SQ3 ,7,8,X,,,,,,,,,,,,
B1 ,11,C ,WV ,3,13,X ,,,,,,,,,,,,
B1 ,11,D ,LVTR1 ,5,10,X ,,,,,,,,,,,,
B1 ,12,C ,WL2 ,4,2,X ,,,,,,,,,,,,
B1 ,12,D ,YO4 ,3,10,X ,,,,,,,,,,,,
B1 ,13,C ,WR ,3,2,X ,,,,,,,,,,,,
B1 ,13,D ,WL2 ,6,13,X ,,,,,,,,,,,,
B1 ,14,C ,LVTR1 ,1,9,X ,,,,,,,,,,,,
B1 ,14,D ,CP3 ,5,6,X ,,,,,,,,,,,,
B1 ,15,C ,YO4 ,6,7,X ,,,,,,,,,,,,
B1 ,15,D ,LV1 ,1,2,X ,,,,,,,,,,,,
B1 ,16,C ,LV1 ,7,8,X ,,,,,,,,,,,,
B1 ,16,D ,LV1 ,3,8,X ,,,,,,,,,,,,
B1 ,17,C ,WV ,6,8,X ,,,,,,,,,,,,
B1 ,17,D ,CC ,1,10,X ,,,,,,,,,,,,
B1 ,18,C ,FR ,3,2,X ,,,,,,,,,,,,
B1 ,18,D ,CP3 ,6,10,X ,,,,,,,,,,,,
B1 ,19,C ,YO7 ,6,7,X ,,,,,,,,,,,,
B1 ,19,D ,YO8 ,3,11,V ,3.87,3.5,1,Y,W ,3.8,,,,,,
B1 ,20,C ,WV ,7,11,X ,,,,,,,,,,,,
B1 ,20,D ,TM2 ,2,8,X ,,,,,,,,,,,,
B1 ,21,C ,YO8 ,6,6,X ,,,,,,,,,,,,
B1 ,21,D ,LV1 ,2,5,X ,,,,,,,,,,,,
B1 ,22,C ,SQ2 ,1,2,X ,,,,,,,,,,,,
B1 ,22,D ,TM2 ,3,3,X ,,,,,,,,,,,,
B2 ,23,C ,LV1 ,3,2,X ,,,,,,,,,,,,
B2 ,23,D ,SQ3 ,4,2,X ,,,,,,,,,,,,
B2 ,24,C ,SQ2 ,6,9,X ,,,,,,,,,,,,
B2 ,24,D ,SQ3 ,1,5,V ,3.2,4.6,4,Y ,N,5.2,,,,,side branch proxy ,
B2 ,25,C ,DPR ,5,6,X ,,,,,,,,,,,,
B2 ,25,D ,LVTR1 ,2,9,X ,,,,,,,,,,,,
B2 ,26,C ,SC ,4,9,X ,,,,,,,,,,,,
B2 ,26,D ,WL1 ,5,12,X ,,,,,,,,,,,,
B2 ,27,C ,SC ,3,3,X ,,,,,,,,,,,,
B2 ,27,D ,YO11 ,4,6,X ,,,,,,,,,,,,
B2 ,28,C ,CC ,6,2,X ,,,,,,,,,,,,
B2 ,28,D ,SQ2 ,3,4,X ,,,,,,,,,,,,
B2 ,29,C ,CP3 ,7,9,X ,,,,,,,,,,,,
B2 ,29,D ,CP2 ,4,11,X ,,,,,,,,,,,,
B2 ,30,C ,YO11 ,5,10,X ,,,,,,,,,,,,
B2 ,30,D ,YO7 ,1,7,X ,,,,,,,,,,,,
B2 ,31,C ,WL2 ,5,7,X ,,,,,,,,,,,,
B2 ,31,D ,YO7 ,7,5,X ,,,,,,,,,,,,
B2 ,32,C ,WR ,3,13,X ,,,,,,,,,,,,
B2 ,32,D ,SQ2 ,2,1,X ,,,,,,,,,,,,
B2 ,33,C ,FR ,6,13,X ,,,,,,,,,,,,
B2 ,33,D ,IH ,6,7,X ,,,,,,,,,,,,
B2 ,34,C ,DPR ,1,12,X ,,,,,,,,,,,,
B2 ,34,D ,WR ,2,9,X ,,,,,,,,,,,,
B2 ,35,C ,LVTR1 ,1,3,X ,,,,,,,,,,,,
B2 ,35,D ,YO11 ,7,7,X ,,,,,,,,,,,,
B2 ,36,C ,LV1 ,4,7,X ,,,,,,,,,,,,
B2 ,36,D ,YO4 ,3,4,X ,,,,,,,,,,,,
B2 ,37,C ,YO8 ,3,3,X ,,,,,,,,,,,,
B2 ,37,D ,SQ2 ,4,10,X ,,,,,,,,,,,,
B2 ,38,C ,WV ,7,5,X ,,,,,,,,,,,,
B2 ,38,D ,SQ1 ,6,9,X ,,,,,,,,,,,,
B2 ,39,C ,YO4 ,7,4,X ,,,,,,,,,,,,
B2 ,39,D ,YO7 ,6,1,X ,,,,,,,,,,,,
B2 ,40,C ,CP3 ,6,4,X ,,,,,,,,,,,,
B2 ,40,D ,YO8 ,1,11,X ,,,,,,,,,,,,
B2 ,41,C ,WL2 ,2,7,X ,,,,,,,,,,,,
B2 ,41,D ,LVTR1 ,7,1,X ,,,,,,,,,,,,
B2 ,42,C ,CC ,5,1,X ,,,,,,,,,,,,
B2 ,42,D ,LV1 ,1,12,X ,,,,,,,,,,,,
B2 ,43,C ,CP3 ,1,1,X ,,,,,,,,,,,,
B2 ,43,D ,TM2 ,6,8,X ,,,,,,,,,,,,
B2 ,44,C ,YO7 ,3,2,X ,,,,,,,,,,,,
B2 ,44,D ,CP2 ,6,7,X ,,,,,,,,,,,,
C1 ,1,A ,YO4 ,5,6,X ,,,,,,,,,,,,
C1 ,1,B ,DPR ,2,1,X ,,,,,,,,,,,,
C1 ,2,A ,SQ3 ,6,5,X ,,,,,,,,,,,,
C1 ,2,B ,FR ,5,1,X ,,,,,,,,,,,,
C1 ,3,A ,FR ,7,3,X ,,,,,,,,,,,,
C1 ,3,B ,YO8 ,2,8,X ,,,,,,,,,,,,
C1 ,4,A ,DPR ,4,7,V ,8.14,6.8,1,N ,N ,4.8,,,,,,
C1 ,4,B ,YO8 ,4,2,X ,,,,,,,,,,,,
C1 ,5,A ,CP3 ,1,10,X ,,,,,,,,,,,,
C1 ,5,B ,IH ,5,12,X ,,,,,,,,,,,,
C1 ,6,A ,SQ2 ,1,5,X ,,,,,,,,,,,,
C1 ,6,B ,YO8 ,6,9,X ,,,,,,,,,,,,
C1 ,7,A ,CP2 ,4,2,X ,,,,,,,,,,,,
C1 ,7,B ,LVTR1 ,7,13,X ,,,,,,,,,,,,
C1 ,8,A ,CP2 ,2,3,X ,,,,,,,,,,,,
C1 ,8,B ,WL1 ,5,2,X ,,,,,,,,,,,,
C1 ,9,A ,SQ1 ,2,13,X ,,,,,,,,,,,,
C1 ,9,B ,CP3 ,3,3,X ,,,,,,,,,,,,
C1 ,10,A ,BH ,1,5,X ,,,,,,,,,,,,
C1 ,10,B ,YO7 ,6,11,X,,,,,,,,,,,,
C1 ,11,A ,YO11 ,3,10,X ,,,,,,,,,,,,
C1 ,11,B ,TM2 ,7,4,X ,,,,,,,,,,,,
C1 ,12,A ,YO11 ,6,10,X ,,,,,,,,,,,,
C1 ,12,B ,SQ3 ,2,1,X ,,,,,,,,,,,,
C1 ,13,A ,YO11 ,2,6,X ,,,,,,,,,,,,
C1 ,13,B ,LVTR1 ,2,1,V ,1,0.7,1,N ,N ,0.6,,,,,,
C1 ,14,A ,DPR ,7,13,,,,,,,,,,,,,
C1 ,14,B ,LVTR1 ,6,3,V ,5.82,3.1,1,Y ,N ,2.6,,,,,,
C1 ,15,A ,WL2 ,1,12,X ,,,,,,,,,,,,
C1 ,15,B ,SQ2 ,7,11,V ,9.72,17.5,4,Y ,N ,5,,,,,,
C1 ,16,A ,WR ,3,5,V ,11.86,11.4,1,Y ,N ,11.2,,,,,,
C1 ,16,B ,WL2 ,3,3,X ,,,,,,,,,,,,
C1 ,17,A ,YO8 ,1,3,X ,,,,,,,,,,,,
C1 ,17,B ,LV1 ,2,8,X ,,,,,,,,,,,,
C1 ,18,A ,LV3 ,4,5,X ,,,,,,,,,,,,
