block,row,col,pop,mf,rep,height (cm),longest leaf (cm),herbivory (Y or N),Notes
D1,21,C,SC,5,10,1.2,3.3,Y,
D1,21,D,FR,8,2,-,-,-,Dead
D2,22,C,BH,7,18,1.4,1.3,N,wilted
D2,22,D,LV3,7,13,2.6,1.8,Y,
D2,23,C,SQ3,4,11,1,0.9,Y,
D2,23,D,SQ2,6,3,1.1,1.8,Y,
D2,24,C,IH,4,11,3.4,3.4,N,
D2,24,D,LV3,4,12,-,-,-,Dead
D2,25,C,WL1,2,1,-,-,-,Dead
D2,25,D,FR,6,10,0.4,1.2,Y,
D2,26,C,WL1,4,11,4.6,2.8,Y,
D2,26,D,SC,5,11,3.5,2.9,Y,
D2,27,C,BH,7,5,3.4,3.4,Y,
D2,27,D,SC,4,10,2.9,2.8,N,
D2,28,C,FR,2,9,3.1,2.4,Y,
D2,28,D,FR,1,6,-,-,-,Dead
D2,29,C,BH,4,13,3.3,3,Y,
D2,29,D,BH,2,9,2.4,4.1,Y,
D2,30,C,CP2,5,2,3.2,2,Y,
D2,30,D,BH,1,10,2.1,1.3,Y,
D2,31,C,SQ1,1,11,-,-,-,Dead
D2,31,D,VTR,6,5,-,-,-,Dead
D2,32,C,LV3,7,1,-,-,-,Dead
D2,32,D,WL1,3,9,-,-,-,Dead
D2,33,C,CP3,12,1,-,-,-,Dead
D2,33,D,BH,5,10,-,-,-,Dead
D2,34,C,WL1,7,12,4.4,2,Y,
D2,34,D,SQ1,6,4,-,-,-,Dead
D2,35,C,SC,6,11,2.4,1.6,Y,
D2,35,D,BH,3,6,4.2,5.6,N,
D2,36,C,IH,4,1,3.7,0.5,Y,
D2,36,D,WL1,6,5,1.2,1.5,Y,
D2,37,C,SQ1,7,4,0.3,1.3,Y,
D2,37,D,LV3,5,11,-,-,-,Dead
D2,38,C,YO7,2,10,-,-,-,Dead
D2,38,D,SC,2,1,-,-,-,Dead
D2,39,C,WL1,7,16,1.8,1.5,Y,
D2,39,D,WL1,6,21,2.3,3,Y,
D2,40,C,TM2,2,1,4,1.6,N,
D2,40,D,YO7,7,11,2.2,2.5,Y,
D2,41,C,WL1,7,2,1.6,3.1,Y,
D2,41,D,IH,2,9,4.1,2,Y,
D2,42,C,buffer,,,,,,
D2,42,D,buffer,,,,,,
D2,43,C,buffer,,,,,,
D2,43,D,buffer,,,,,,
F1,1,A,buffer,,,,,,
F1,1,B,buffer,,,,,,
F1,2,A,buffer,,,,,,
F1,2,B,buffer,,,,,,
F1,3,A,LV1,6,6,-,-,-,Dead
F1,3,B,CP2,5,13,1.5,2.9,Y,
F1,4,A,SQ2,6,4,0.9,3,Y,
F1,4,B,SQ3,3,4,0.2,2.1,Y,
F1,5,A,WL1,4,2,-,-,-,Dead
F1,5,B,LVTR,6,12,0.9,1.8,N,
F1,6,A,CP2,4,4,0.7,2.5,Y,
F1,6,B,WL2,4,1,2.4,2.7,Y,
F1,7,A,LV3,1,8,-,-,-,Dead
F1,7,B,IH,4,20,3.9,5.4,N,
F1,8,A,TM2,2,2,9.4,4.9,Y,
F1,8,B,SC,5,13,2.9,0.8,N,
F1,9,A,DPR,2,5,56,1.9,N,
F1,9,B,YO8,2,11,-,-,-,Dead
F1,10,A,BH,7,19,-,-,-,Dead
F1,10,B,WL1,1,5,-,-,-,Dead
F1,11,A,FR,5,9,3.9,3.8,N,
F1,11,B,WL1,2,12,3.4,1.9,Y,
F1,12,A,CC,6,3,6,2.3,N,
F1,12,B,TM2,1,3,6.8,1.6,N,
F1,13,A,SC,6,12,-,-,-,Dead
F1,13,B,WL1,7,27,2.6,1.4,Y,
F1,14,A,IH,4,12,3.8,2.8,N,
F1,14,B,WL1,7,17,-,-,-,Dead
F1,15,A,BH,6,9,3.1,3.6,Y,
F1,15,B,SQ1,1,12,1.8,1.9,Y,
F1,16,A,WL1,2,2,3.3,2.1,Y,
F1,16,B,FR,2,4,2.4,1.9,Y,
F1,17,A,WL1,6,22,1.5,2.1,Y,wilted
F1,17,B,BH,2,10,2.9,2,N,
F1,18,A,WL1,5,8,-,-,-,Dead
F1,18,B,WL1,1,22,2,1.7,Y,
F1,19,A,WL2,5,11,1.6,2.1,Y,
F1,19,B,WL2,1,1,-,-,-,Dead
F1,20,A,LV3,7,2,-,-,-,Dead
F1,20,B,CC,2,4,5.1,1.9,N,
F1,21,A,CC,4,13,-,-,-,Dead
F1,21,B,LV3,5,12,-,-,-,Dead
F2,22,A,WL1,7,18,-,-,-,Dead
F2,22,B,buffer,,,,,,
F2,23,A,WL1,2,3,-,-,-,Dead
F2,23,B,CP3,7,1,-,-,-,Dead
F2,24,A,TM2,3,13,3.1,1.3,N,
F2,24,B,VTR,5,13,2.5,2,Y,
F2,25,A,YO8,1,10,3.8,2.8,Y,
F2,25,B,WL1,6,7,4.2,2.9,Y,
F2,26,A,SQ1,1,13,-,-,-,Dead
F2,26,B,WR,1,11,-,-,-,Dead
F2,27,A,BH,7,7,-,-,-,Dead
F2,27,B,WL2,3,13,1.4,0.6,N,
F2,28,A,BH,5,2,-,-,-,Dead
F2,28,B,WL1,6,23,3.3,2.3,Y,
F2,29,A,FR,8,1,-,-,-,Dead
F2,29,B,BH,4,5,4.4,2.3,N,
F2,30,A,YO7,4,4,-,-,-,Dead
F2,30,B,WL1,7,28,1.9,2.1,Y,
F2,31,A,CC,7,8,4.5,1.1,N,
F2,31,B,SC,6,1,0.6,0.9,N,
F2,32,A,DPR,6,2,2.2,1.8,N,
F2,32,B,LV3,5,1,1.6,1.5,Y,
F2,33,A,IH,1,12,2.6,2.3,Y,
F2,33,B,WL1,4,3,1.8,2.5,Y,
F2,34,A,IH,4,13,5.2,4.3,N,
F2,34,B,YO7,5,5,1.9,1.8,N,
F2,35,A,LV3,7,3,3.1,2.8,N,
F2,35,B,WL1,1,23,1.6,2.1,N,
F2,36,A,FR,2,12,3,1.5,Y,
F2,36,B,CP2,3,5,2.4,1.9,Y,
F2,37,A,LV3,4,13,-,-,-,Dead
F2,37,B,SQ1,7,14,1.5,2.2,N,
F2,38,A,CP2,6,4,2.3,3.1,Y,
F2,38,B,SC,4,1,3.1,4,N,
F2,39,A,TM2,3,2,1.8,1.3,N,
F2,39,B,SC,5,1,4.5,3.4,N,
F2,40,A,BH,3,8,3.4,1.6,N,wilted
